Meanint	Meaning_ID	Word	List1	List2	Similarity
the chain	29	з1е	{'з1е'}	{'кулишв', 'з1е', 'кулиш'}	DIFFERENT
the chain	29	кулиш	{'кулишв', 'кулиш'}	{'кулишв', 'з1е', 'кулиш'}	DIFFERENT
the chain	29	рагъаж	{'рахаси', 'рагъаж', 'раххас', 'раххасс', 'рахас', 'рагъаз', 'раххасси'}	{'рахаси', 'рагъаж', 'раххас', 'raxas', 'раххасс', 'рахас', 'рагъаз', 'раххасси'}	DIFFERENT
the chain	29	силсил	{'зунджул', 'занджил подтвердил', 'жанжир', 'зинджир', 'žinǯiri', 'zanjeer', 'зинжил', 'зунджур', 'синжир', 'зинжир', 'zincir podtv', 'зинджир пожтвердил', 'žinžir', 'зенджир подтвердил', 'zencir', 'занджир', 'синджил', 'занджил', 'зенджил', 'силсил', 'зинджил подтвердил', 'зунджвур', 'сонджур', 'zəncir', 'сирсил', 'санджур', 'zincir', 'жанжур', 'žinžiri', 'зынджыр', 'сунжур', 'зунжур жерге', 'зенжир', 'зенджир', 'зунжур', 'шынжыр', 'жинжир', 'сунджур', 'сунджур подтвердил', 'зунджур подтвердил', 'зинджил', 'занжир', 'зэнджир'}	{'сирсил', 'силсил'}	DIFFERENT
the clan	30	nasil	{'nasil', 'nesil', 'nəsil'}	{'насыр', 'nesil', 'nəsil', 'наслу', 'несил', 'nasil'}	DIFFERENT
the clan	30	qumalat	{'qumalat'}	{'qumalat', 'кумалат'}	DIFFERENT
the clan	30	tuhum	{'tuχum', 'тохум', 'тухум(ти)', 'тухум-кьибил', 'тум', 'tuhum', 'tuxum', 'тухум'}	{'tuχum', 'тохум', 'тухум(ти)', 'тум', 'tuhum', 'tuxum', 'тухум'}	DIFFERENT
the clan	30	джинс	{'джинс', 'жинс'}	{'джинс', 'жинс', 'джинс(нп = порода)'}	DIFFERENT
the clan	30	кумалат	{'кумалат'}	{'qumalat', 'кумалат'}	DIFFERENT
the clan	30	наслу	{'наслу'}	{'насыр', 'nesil', 'nəsil', 'наслу', 'несил', 'nasil'}	DIFFERENT
the clan	30	насыр	{'насыр', 'несил'}	{'насыр', 'nesil', 'nəsil', 'наслу', 'несил', 'nasil'}	DIFFERENT
the clan	30	род	{'род'}	{'родословная', 'род'}	DIFFERENT
the clan	30	сехил	{'сихил', 'цыхил', 'цихил', 'сехил'}	{'сихил', 'сехил'}	DIFFERENT
the clan	30	тухум-кьибил	{'tuχum', 'тохум', 'тухум(ти)', 'тухум-кьибил', 'тум', 'tuhum', 'tuxum', 'тухум'}	{'тухум-кьибил'}	DIFFERENT
the clan	30	цихил	{'сихил', 'цыхил', 'цихил', 'сехил'}	{'цыхил', 'цихил'}	DIFFERENT
the clothing or clothes	31	čaatsmel	{'çaatsmel', 'časatsmeli', 'čaatsmel'}	{'çaatsmel', 'časatsmeli', "t'ansatsmeli", 'čaatsmel'}	DIFFERENT
the clothing or clothes	31	elbas	{'elbas', 'lebas', 'libaas'}	{'elbas', 'либас', 'lebas', 'libaas'}	DIFFERENT
the clothing or clothes	31	geenm paltar	{'geyim', 'geyim podtv', 'keyim', 'geenm paltar'}	{'partal', 'paltar podtv', 'паллат', 'партал', 'палат', 'парталар', 'paltar', 'geenm paltar', 'палтар'}	DIFFERENT
the clothing or clothes	31	geyim	{'geyim', 'geyim podtv', 'keyim', 'geenm paltar'}	{'geyim', 'geyim podtv', 'keyim', 'гийим'}	DIFFERENT
the clothing or clothes	31	paltar	{'paltar', 'partal', 'paltar podtv'}	{'partal', 'paltar podtv', 'паллат', 'партал', 'палат', 'парталар', 'paltar', 'geenm paltar', 'палтар'}	DIFFERENT
the clothing or clothes	31	t'ansatsmeli	{"t'ansatsmeli"}	{'çaatsmel', 'časatsmeli', "t'ansatsmeli", 'čaatsmel'}	DIFFERENT
the clothing or clothes	31	гийим	{'гийим'}	{'geyim', 'geyim podtv', 'keyim', 'гийим'}	DIFFERENT
the clothing or clothes	31	кан	{'кан'}	{'канар', 'кан'}	DIFFERENT
the clothing or clothes	31	канар	{'ккуттар', 'ккуртар', 'куртар', 'ккурт', 'канар', 'карби', 'кунар', 'куттар', 'курт1ар'}	{'канар', 'кан'}	DIFFERENT
the clothing or clothes	31	карби	{'ккуттар', 'ккуртар', 'куртар', 'ккурт', 'канар', 'карби', 'кунар', 'куттар', 'курт1ар'}	{'карби'}	DIFFERENT
the clothing or clothes	31	ккурт	{'ккуттар', 'ккуртар', 'куртар', 'ккурт', 'канар', 'карби', 'кунар', 'куттар', 'курт1ар'}	{'ккуттар', 'ккуртар', 'куртар', 'ккурт', 'кунар', 'куттар', 'курт1ар'}	DIFFERENT
the clothing or clothes	31	либас	{'либас'}	{'elbas', 'либас', 'lebas', 'libaas'}	DIFFERENT
the clothing or clothes	31	палат	{'палтар тоже', 'партал', 'паллат', 'парталар', 'палат', 'палат тоже есть', 'палтар'}	{'partal', 'paltar podtv', 'паллат', 'партал', 'палат', 'парталар', 'paltar', 'geenm paltar', 'палтар'}	DIFFERENT
the clothing or clothes	31	палат тоже есть	{'палтар тоже', 'партал', 'паллат', 'парталар', 'палат', 'палат тоже есть', 'палтар'}		NOT IN LIST 2
the clothing or clothes	31	шеир	{'шеир'}	{'шеир', 'шеъер', 'шэъер'}	DIFFERENT
the clothing or clothes	31	шеъер	{'шеъер', 'шэъер'}	{'шеир', 'шеъер', 'шэъер'}	DIFFERENT
the cock/rooster	32	датт	{'датт', 'датта', 'датту'}	{'татт', 'датта', 'ттатт', 'датт', 'ттаттагъ', 'тетт', 'таттах', 'датту'}	DIFFERENT
the cock/rooster	32	татт	{'татт', 'ттатт', 'тетт'}	{'татт', 'датта', 'ттатт', 'датт', 'ттаттагъ', 'тетт', 'таттах', 'датту'}	DIFFERENT
the cock/rooster	32	таттах	{'таттах', 'ттаттагъ'}	{'татт', 'датта', 'ттатт', 'датт', 'ттаттагъ', 'тетт', 'таттах', 'датту'}	DIFFERENT
the colour/color	33	ƛ’ey	{'ƛ’ey', 'кьере', 'к1ер', 'кьери', 'кьей', 'кьер', 'КЬЕР'}	{'ƛ’ey'}	DIFFERENT
the colour/color	33	por-rang	{'рангу', 'рэнк', 'ренг', 'por-rang', 'ренк', 'рəнҝ', 'ранг', 'ранг уьмрин лап ужуб вахт', 'ранга', 'ренг подтвердил', 'rang', 'rəng'}	{'por-rang'}	DIFFERENT
the colour/color	33	rang	{'рангу', 'рэнк', 'ренг', 'por-rang', 'ренк', 'рəнҝ', 'ранг', 'ранг уьмрин лап ужуб вахт', 'ранга', 'ренг подтвердил', 'rang', 'rəng'}	{'рангу', 'рэнк', 'ренг', 'ренк', 'рəнҝ', 'ранг', 'ранга', 'ренг подтвердил', 'rang', 'rəng'}	DIFFERENT
the colour/color	33	к1ер	{'ƛ’ey', 'кьере', 'к1ер', 'кьери', 'кьей', 'кьер', 'КЬЕР'}	{'кьере', 'к1ер', 'кьери', 'кьей', 'кьер', 'КЬЕР'}	DIFFERENT
the colour/color	33	кIышды	{'кIышды'}	{'ҝүл', 'кIышды'}	DIFFERENT
the colour/color	33	ҝүл	{'ҝүл'}	{'ҝүл', 'кIышды'}	DIFFERENT
the colour/color	33	ранг уьмрин лап ужуб вахт	{'рангу', 'рэнк', 'ренг', 'por-rang', 'ренк', 'рəнҝ', 'ранг', 'ранг уьмрин лап ужуб вахт', 'ранга', 'ренг подтвердил', 'rang', 'rəng'}		NOT IN LIST 2
the copper	34	mazgar	{'mazgar'}	{'мазгар', 'мазгал', 'мазгар подтвердил', 'мазгалат1ат1', 'mazgar', 'мазгалат1ат1 - про провода'}	DIFFERENT
the copper	34	иф	{'иф(нп: алюминий)', 'йиф подтвердил', 'йифри', 'йирф неуверенно', 'йирф', 'иф', 'йирф подтвердил', 'ифрин', 'иф подтвердил', 'йифрин', 'йиф'}	{'иф(нп: алюминий)', 'йиф подтвердил', 'йифри', 'йирф', 'иф', 'йирф подтвердил', 'ифрин', 'иф подтвердил', 'йифрин', 'йиф', '*йиф'}	DIFFERENT
the copper	34	йирф неуверенно	{'иф(нп: алюминий)', 'йиф подтвердил', 'йифри', 'йирф неуверенно', 'йирф', 'иф', 'йирф подтвердил', 'ифрин', 'иф подтвердил', 'йифрин', 'йиф'}		NOT IN LIST 2
the copper	34	кевш	{'кевш'}	{'*кевш 0', 'кевш'}	DIFFERENT
the copper	34	кимшир	{'кимшир'}	{'кюмшир', 'кимшир'}	DIFFERENT
the copper	34	кюмшир	{'кюмшир'}	{'кюмшир', 'кимшир'}	DIFFERENT
the copper	34	мазгал	{'мазгар', 'мазгал', 'мазгар подтвердил', 'мазгалат1ат1', 'мазгалат1ат1 - про провода'}	{'мазгар', 'мазгал', 'мазгар подтвердил', 'мазгалат1ат1', 'mazgar', 'мазгалат1ат1 - про провода'}	DIFFERENT
the copper	34	пак	{'пак'}	{'пахь', 'пахьу', 'палъи', 'пак'}	DIFFERENT
the copper	34	палъи	{'палъи'}	{'пахь', 'пахьу', 'палъи', 'пак'}	DIFFERENT
the copper	34	пахь	{'пахь', 'правильно', 'пахьу', 'первое'}	{'пахь', 'пахьу', 'палъи', 'пак'}	DIFFERENT
the copper	34	первое	{'пахь', 'правильно', 'пахьу', 'первое'}		NOT IN LIST 2
the corpse	35	cəset	{'cəsəd', 'jasad', 'cəset'}	{'cəsəd', 'cəset'}	DIFFERENT
the corpse	35	gvami	{'gvami', 'gvami podtv', 'gvami - georgian'}	{'gvami', 'gvami podtv'}	DIFFERENT
the corpse	35	gvami - georgian	{'gvami', 'gvami podtv', 'gvami - georgian'}		NOT IN LIST 2
the corpse	35	jasad	{'cəsəd', 'jasad', 'cəset'}	{'jasad'}	DIFFERENT
the corpse	35	mejit	{'майит', 'маит', 'mijit - azeri', 'муит', 'мейид', 'meyit', 'мийит', 'mejit', 'мейит'}	{'майит', 'маит', 'муит', 'мейид', 'meyit', 'мийит', 'mejit', 'мейит'}	DIFFERENT
the corpse	35	mijit - azeri	{'майит', 'маит', 'mijit - azeri', 'муит', 'мейид', 'meyit', 'мийит', 'mejit', 'мейит'}		NOT IN LIST 2
the corpse	35	ölü	{'ölü', 'ülü', 'элу'}	{'ölü', 'ülü'}	DIFFERENT
the corpse	35	о1ле	{'о1ле'}	{'оьлген', 'о1ле'}	DIFFERENT
the corpse	35	оьлген	{'оьлген'}	{'оьлген', 'о1ле'}	DIFFERENT
the corpse	35	элу	{'ölü', 'ülü', 'элу'}	{'элу'}	DIFFERENT
the cross	36	qača	{'къанч п', 'хъанчи', 'хъанч', 'къанч', 'ХЪАIНЧ', 'qanč', 'qača'}	{'къанч п', 'хач', 'хъанчи', 'хъанч', 'qača', 'хаш', 'хъач подтвердил', 'xaç podtv', 'къанч', 'хам', 'ХЪАIНЧ', 'хъач', 'qanč', 'xaç', 'χač', 'хач подтвердил'}	DIFFERENT
the cross	36	xaç	{'хач', 'хаш', 'хъач подтвердил', 'xaç podtv', 'хъач', 'xaç', 'χač', 'хач подтвердил'}	{'къанч п', 'хач', 'хъанчи', 'хъанч', 'qača', 'хаш', 'хъач подтвердил', 'xaç podtv', 'къанч', 'хам', 'ХЪАIНЧ', 'хъач', 'qanč', 'xaç', 'χač', 'хач подтвердил'}	DIFFERENT
the cross	36	хам	{'хам'}	{'къанч п', 'хач', 'хъанчи', 'хъанч', 'qača', 'хаш', 'хъач подтвердил', 'xaç podtv', 'къанч', 'хам', 'ХЪАIНЧ', 'хъач', 'qanč', 'xaç', 'χač', 'хач подтвердил'}	DIFFERENT
the cross	36	чанк	{'чанк'}	{'чаНчалик1', 'чанк', 'чанчалик1'}	DIFFERENT
the cross	36	чаНчалик1	{'чаНчалик1', 'чанчалик1'}	{'чаНчалик1', 'чанк', 'чанчалик1'}	DIFFERENT
the cup	37	boşka	{'бушкап', 'boşka', 'бушкьаб', 'бушхъаб', 'бушкав', 'бушкъаб', 'бушкаб', 'бушкъав', 'мускьаб?', 'бошкьаб', 'бушхаб', 'пушкап'}	{'бушкап', 'boşka', 'бушкьаб', 'бушхъаб', 'бушкав', 'бушкъаб', 'бушкаб', 'бушкъав', 'бошкьаб', 'бушхаб', 'пушкап'}	DIFFERENT
the cup	37	estek'ani	{'эстекан', 'стакан', 'stakan', "estek'ani", 'Стакан / стакни', 'истакан', 'старался', 'stekan', 'истикан'}	{"estek'ani"}	DIFFERENT
the cup	37	pialeh	{'pialeh', 'пияла'}	{'pialeh'}	DIFFERENT
the cup	37	stakan	{'эстекан', 'стакан', 'stakan', "estek'ani", 'Стакан / стакни', 'истакан', 'старался', 'stekan', 'истикан'}	{'эстекан', 'стакан', 'stakan', 'Стакан / стакни', 'истакан', 'stekan', 'истикан'}	DIFFERENT
the cup	37	гъаб	{'гъаб', 'къав', 'каб', 'хъаб', 'къаб = тарелка', 'гъаб(тарелка)', 'къаб'}	{'гъаб', 'къав', 'каб', 'хъаб', 'къаб = тарелка', 'гъаб(тарелка)', 'къаб', 'хьада'}	DIFFERENT
the cup	37	мускьаб?	{'бушкап', 'boşka', 'бушкьаб', 'бушхъаб', 'бушкав', 'бушкъаб', 'бушкаб', 'бушкъав', 'мускьаб?', 'бошкьаб', 'бушхаб', 'пушкап'}		NOT IN LIST 2
the cup	37	пияла	{'pialeh', 'пияла'}	{'пияла'}	DIFFERENT
the cup	37	старался	{'эстекан', 'стакан', 'stakan', "estek'ani", 'Стакан / стакни', 'истакан', 'старался', 'stekan', 'истикан'}		NOT IN LIST 2
the cup	37	сукра	{'суркIа', 'сукра'}	{'суркIа', 'чуккури,', 'чуккури', 'сукра'}	DIFFERENT
the cup	37	хьада	{'хьада'}	{'гъаб', 'къав', 'каб', 'хъаб', 'къаб = тарелка', 'гъаб(тарелка)', 'къаб', 'хьада'}	DIFFERENT
the cup	37	чай	{'чай'}	{'чайник', 'чай'}	DIFFERENT
the cup	37	чайник	{'чайник'}	{'чайник', 'чай'}	DIFFERENT
the cup	37	чуккури	{'чуккури,', 'чуккури'}	{'суркIа', 'чуккури,', 'чуккури', 'сукра'}	DIFFERENT
the debt	38	nahɬi	{'nahɬi'}	{'налъи', 'nahɬi'}	DIFFERENT
the debt	38	χarž	{'χarž'}	{'къарз', 'χarž'}	DIFFERENT
the debt	38	гьабизе	{'гьабизе'}		NOT IN LIST 2
the debt	38	къарз	{'къарз'}	{'къарз', 'χarž'}	DIFFERENT
the debt	38	налъи	{'налъи'}	{'налъи', 'nahɬi'}	DIFFERENT
the drum	39	baraban	{'baraban - палочками', 'baraban', 'baraban palochkami', 'barabani'}	{'baraban - палочками', 'baraban palochkami', 'baraban', 'барабан', 'barabani'}	DIFFERENT
the drum	39	dap	{'dap'}	{'dar', 'dap'}	DIFFERENT
the drum	39	dar	{'dar'}	{'dar', 'dap'}	DIFFERENT
the drum	39	dibit’o	{'dibit’o', 'дибит1о', 'dohol'}	{'dibit’o', 'дибит1о'}	DIFFERENT
the drum	39	dohol	{'dibit’o', 'дибит1о', 'dohol'}	{'dohol'}	DIFFERENT
the drum	39	doli	{'doli - georgian', 'doli'}	{'doli'}	DIFFERENT
the drum	39	doli - georgian	{'doli - georgian', 'doli'}		NOT IN LIST 2
the drum	39	nağara	{'напара', 'нагьара', 'накъыра', 'накьра', 'naʁra', 'nağra ruchnoy', 'nağara', 'нагъара', 'nağara - руками', 'nağara - azer', 'нагъара подтвердил', 'nağra'}	{'напара', 'нагьара', 'накъыра', 'накьра', 'naʁra', 'nağra ruchnoy', 'nağara', 'нагъара', 'nağara - руками', 'нагъара подтвердил', 'nağra'}	DIFFERENT
the drum	39	nağara - azer	{'напара', 'нагьара', 'накъыра', 'накьра', 'naʁra', 'nağra ruchnoy', 'nağara', 'нагъара', 'nağara - руками', 'nağara - azer', 'нагъара подтвердил', 'nağra'}		NOT IN LIST 2
the drum	39	tabeereh	{'tabeereh'}	{'tabeereh', 'tabi'}	DIFFERENT
the drum	39	tabi	{'tap', 'tabi'}	{'tabeereh', 'tabi'}	DIFFERENT
the drum	39	tap	{'tap', 'tabi'}	{'tap'}	DIFFERENT
the drum	39	барабан	{'барабан'}	{'baraban - палочками', 'baraban palochkami', 'baraban', 'барабан', 'barabani'}	DIFFERENT
the drum	39	дабдабу	{'ДАЛДАМ', 'дамдаму', 'дамдам', 'далдабу', 'дабдабу', 'давдаву', 'далдаму', 'давдуву', 'далдам', 'дабдуву'}	{'дамдаму', 'дамдам', 'далдабу', 'дабдабу', 'давдаву', 'давдуву', 'дабдуву'}	DIFFERENT
the drum	39	далдам	{'ДАЛДАМ', 'дамдаму', 'дамдам', 'далдабу', 'дабдабу', 'давдаву', 'далдаму', 'давдуву', 'далдам', 'дабдуву'}	{'далдам', 'ДАЛДАМ', 'далдаму'}	DIFFERENT
the duck	40	bat	{'bat'}	{'бад', 'бедбед', 'бядбадв', 'баъдбаъд', 'бадбаду', 'бадабад(индюшка)', 'бядбяд подтвердил', 'battah', 'bat', 'бядбяд когда подзывают', 'бадбад(гусь)', 'бядбяда', 'бядбядя', 'бадбад', 'баьдбаьд', 'бядбяд'}	DIFFERENT
the duck	40	battah	{'battah'}	{'бад', 'бедбед', 'бядбадв', 'баъдбаъд', 'бадбаду', 'бадабад(индюшка)', 'бядбяд подтвердил', 'battah', 'bat', 'бядбяд когда подзывают', 'бадбад(гусь)', 'бядбяда', 'бядбядя', 'бадбад', 'баьдбаьд', 'бядбяд'}	DIFFERENT
the duck	40	OIрдаг	{'оьрдег', 'оьрдек', 'ördek', 'уьрдег', 'уьрдек летает', 'ordak', 'уьрдег подтвердил', 'ördägi', 'ördag', 'уьрдек', 'урдег', 'OIрдаг', 'ордек', 'ördək', 'уьрдег(п: утка и индюшка)', 'уьрдаг', 'урдык', 'уьрдег кучIлин хабар', 'ordək', 'уьрдяг', 'уьрдек бадбад не летает', 'урдаг', 'урдек', 'ордок', 'уьрдэк', 'uˤrdek'}	{'оьрдег', 'оьрдек', 'ördek', 'уьрдег', 'уьрдек летает', 'ordak', 'уьрдег подтвердил', 'ördägi', 'ördag', 'уьрдек', 'урдег', 'OIрдаг', 'ордек', 'ördək', 'уьрдег(п: утка и индюшка)', 'уьрдаг', 'урдык', 'ordək', 'уьрдяг', 'уьрдек бадбад не летает', 'урдаг', 'урдек', 'ордок', 'уьрдэк', 'uˤrdek'}	DIFFERENT
the duck	40	бабиш	{'бабиш', 'бабуше', 'бабущ'}	{'бадещи', 'бабиш', 'бабущ', 'бадущи', 'бабуше'}	DIFFERENT
the duck	40	бад	{'бад', 'бедбед', 'бядбадв', 'бадещи', 'баъдбаъд', 'бадбаду', 'бадабад(индюшка)', 'бядбяд подтвердил', 'бядбяда', 'пятпят', 'бядбяд когда подзывают', 'бадбад(гусь)', 'бядбядя', 'бадбад', 'баьдбаьд', 'бадущи', 'бядбяд'}	{'бад', 'бедбед', 'бядбадв', 'баъдбаъд', 'бадбаду', 'бадабад(индюшка)', 'бядбяд подтвердил', 'battah', 'bat', 'бядбяд когда подзывают', 'бадбад(гусь)', 'бядбяда', 'бядбядя', 'бадбад', 'баьдбаьд', 'бядбяд'}	DIFFERENT
the duck	40	бадещи	{'бад', 'бедбед', 'бядбадв', 'бадещи', 'баъдбаъд', 'бадбаду', 'бадабад(индюшка)', 'бядбяд подтвердил', 'бядбяда', 'пятпят', 'бядбяд когда подзывают', 'бадбад(гусь)', 'бядбядя', 'бадбад', 'баьдбаьд', 'бадущи', 'бядбяд'}	{'бадещи', 'бабиш', 'бабущ', 'бадущи', 'бабуше'}	DIFFERENT
the duck	40	къаз	{'къваз', 'къарни(летающие)', 'къаз', 'хъаз'}	{'къваз', 'къаз', 'хъаз'}	DIFFERENT
the duck	40	къарни(летающие)	{'къваз', 'къарни(летающие)', 'къаз', 'хъаз'}	{'къарни(летающие)'}	DIFFERENT
the duck	40	п1ат1	{'п1ат1'}	{'п1ат1', 'пятпят'}	DIFFERENT
the duck	40	пятпят	{'бад', 'бедбед', 'бядбадв', 'бадещи', 'баъдбаъд', 'бадбаду', 'бадабад(индюшка)', 'бядбяд подтвердил', 'бядбяда', 'пятпят', 'бядбяд когда подзывают', 'бадбад(гусь)', 'бядбядя', 'бадбад', 'баьдбаьд', 'бадущи', 'бядбяд'}	{'п1ат1', 'пятпят'}	DIFFERENT
the duck	40	уьрдег кучIлин хабар	{'оьрдег', 'оьрдек', 'ördek', 'уьрдег', 'уьрдек летает', 'ordak', 'уьрдег подтвердил', 'ördägi', 'ördag', 'уьрдек', 'урдег', 'OIрдаг', 'ордек', 'ördək', 'уьрдег(п: утка и индюшка)', 'уьрдаг', 'урдык', 'уьрдег кучIлин хабар', 'ordək', 'уьрдяг', 'уьрдек бадбад не летает', 'урдаг', 'урдек', 'ордок', 'уьрдэк', 'uˤrdek'}		NOT IN LIST 2
the dust	41	pak	{'pak', 'pax'}	{'пякъ', 'pax', 'пягь', 'pak', 'пох'}	DIFFERENT
the dust	41	пох	{'пох'}	{'пякъ', 'pax', 'пягь', 'pak', 'пох'}	DIFFERENT
the dust	41	пягь	{'пякъ', 'пягь'}	{'пякъ', 'pax', 'пягь', 'pak', 'пох'}	DIFFERENT
the earring	42	halqah	{'halqah'}	{'гьалкъалар', 'гьалкьа1', 'halqah'}	DIFFERENT
the earring	42	sirʁa	{'сыргъалар', 'зирьгъе', 'сиргъя', 'сигърияр', 'сиргъи', 'сиргъи - другие', 'сирги', 'зиргъе', 'зерьга', 'сиргъи п', 'сиргъи тоже есть', 'серьга', 'сиргъи подтвердил', 'сиргъа', 'sırğa', 'серьгъа', 'сергъи', 'сережка', 'sirʁa'}	{'sırğa', 'sirʁa'}	DIFFERENT
the earring	42	абыр	{'аъадбыр', 'абыр'}	{'абыр'}	DIFFERENT
the earring	42	аъадбыр	{'аъадбыр', 'абыр'}	{'аъадбыр'}	DIFFERENT
the earring	42	гьалкъалар	{'гьалкъалар', 'гьалкьа1'}	{'гьалкъалар', 'гьалкьа1', 'halqah'}	DIFFERENT
the earring	42	зерьга	{'сыргъалар', 'зирьгъе', 'сиргъя', 'сигърияр', 'сиргъи', 'сиргъи - другие', 'сирги', 'зиргъе', 'зерьга', 'сиргъи п', 'сиргъи тоже есть', 'серьга', 'сиргъи подтвердил', 'сиргъа', 'sırğa', 'серьгъа', 'сергъи', 'сережка', 'sirʁa'}	{'сыргъалар', 'зирьгъе', 'сиргъа', 'зерьга', 'сиргъя', 'серьгъа', 'сигърияр', 'сиргъи', 'сиргъи п', 'сиргъи тоже есть', 'сергъи', 'сережка', 'серьга', 'сирги', 'сиргъи подтвердил', 'зиргъе'}	DIFFERENT
the earring	42	иба к1итруд	{'ибагнар', 'иба к1итруд'}	{'иба к1итруд'}	DIFFERENT
the earring	42	ибагнар	{'ибагнар', 'иба к1итруд'}	{'ибагнар'}	DIFFERENT
the earring	42	ибак кипт1руб	{'ибари ккит1рудар', 'ибарик кахьрудар', 'ибак кипт1руб', 'ибарик1 к1итрудар', 'ибак1итрудр', 'ибали к1итрудар', 'ибарик китрудар'}	{'ибари ккит1рудар', 'ибак кипт1руб', 'ибарик1 к1итрудар', 'ибак1итрудр', 'ибали к1итрудар', 'ибарик китрудар'}	DIFFERENT
the earring	42	ибари ккахруб	{'ибари ккахруб', 'ибарик ккахьрудар', 'ибарикк ккахру'}	{'ибари ккахруб', 'ибарик кахьрудар', 'ибарик ккахьрудар', 'ибарикк ккахру'}	DIFFERENT
the earring	42	ибарик кахьрудар	{'ибари ккит1рудар', 'ибарик кахьрудар', 'ибак кипт1руб', 'ибарик1 к1итрудар', 'ибак1итрудр', 'ибали к1итрудар', 'ибарик китрудар'}	{'ибари ккахруб', 'ибарик кахьрудар', 'ибарик ккахьрудар', 'ибарикк ккахру'}	DIFFERENT
the earring	42	на	{'на', 'но'}		NOT IN LIST 2
the earring	42	сиргъи - другие	{'сыргъалар', 'зирьгъе', 'сиргъя', 'сигърияр', 'сиргъи', 'сиргъи - другие', 'сирги', 'зиргъе', 'зерьга', 'сиргъи п', 'сиргъи тоже есть', 'серьга', 'сиргъи подтвердил', 'сиргъа', 'sırğa', 'серьгъа', 'сергъи', 'сережка', 'sirʁa'}		NOT IN LIST 2
the earring	42	халхад?	{'халхалаг', 'халхалагбыр', 'халхад?'}		NOT IN LIST 2
the earring	42	халхалаг	{'халхалаг', 'халхалагбыр', 'халхад?'}	{'халхалаг', 'халхалагбыр'}	DIFFERENT
the earring	42	эпен	{'эпен'}	{'япак1ан', 'эпен', 'япагъан', 'япагънар', 'япагъанар'}	DIFFERENT
the earring	42	япагъан	{'япак1ан', 'япагъан', 'япагънар', 'япагъанар'}	{'япак1ан', 'эпен', 'япагъан', 'япагънар', 'япагъанар'}	DIFFERENT
the egg	43	yumurta	{'yumurta', 'yumurta podtv'}	{'yumurta', 'йымырткъа', 'юмурта', 'йуьмурта', 'юмурту', 'мурта', 'yumurta podtv'}	DIFFERENT
the egg	43	гуггу	{'гуггу', 'гугу'}	{'кьукь', 'куку', 'гуггу', 'гугу'}	DIFFERENT
the egg	43	гъулугъ	{'гъулугъ'}	{'гъулугъ', 'гъылыгъ'}	DIFFERENT
the egg	43	гъылыгъ	{'гъылыгъ'}	{'гъулугъ', 'гъылыгъ'}	DIFFERENT
the egg	43	йуьмурта	{'юмурта', 'йымырткъа', 'йуьмурта', 'мурта', 'юмурту'}	{'yumurta', 'йымырткъа', 'юмурта', 'йуьмурта', 'юмурту', 'мурта', 'yumurta podtv'}	DIFFERENT
the egg	43	к1ук1	{'к1укь', 'к1ук1', 'кьукь'}	{'к1укь', 'к1ук1'}	DIFFERENT
the egg	43	кану	{'кану'}	{'хоно', 'хъану', 'кану'}	DIFFERENT
the egg	43	куку	{'куку'}	{'кьукь', 'куку', 'гуггу', 'гугу'}	DIFFERENT
the egg	43	кьукь	{'к1укь', 'к1ук1', 'кьукь'}	{'кьукь', 'куку', 'гуггу', 'гугу'}	DIFFERENT
the egg	43	пелеху	{'пелеху'}	{'пелеху', 'пелуху'}	DIFFERENT
the egg	43	пелизю	{'пелюзув', 'пелюдзю', 'пелизю', 'пюлюдзюль', 'пелюдзу'}	{'пелюзув', 'пелюдзю', 'пялюхю', 'пелизю', 'пюлюдзюль', 'пелюдзу'}	DIFFERENT
the egg	43	пелуху	{'пялюхю', 'пелуху', 'пялях'}	{'пелеху', 'пелуху'}	DIFFERENT
the egg	43	пялбхаб	{'пялбхаб', 'х1оа'}	{'пялбхаб', 'пялях'}	DIFFERENT
the egg	43	пялюхю	{'пялюхю', 'пелуху', 'пялях'}	{'пелюзув', 'пелюдзю', 'пялюхю', 'пелизю', 'пюлюдзюль', 'пелюдзу'}	DIFFERENT
the egg	43	пялях	{'пялюхю', 'пелуху', 'пялях'}	{'пялбхаб', 'пялях'}	DIFFERENT
the egg	43	х1оа	{'пялбхаб', 'х1оа'}	{'х1оа'}	DIFFERENT
the egg	43	хоно	{'хоно'}	{'хоно', 'хъану', 'кану'}	DIFFERENT
the egg	43	хъану	{'хъану'}	{'хоно', 'хъану', 'кану'}	DIFFERENT
the fairy tale	44	1) хIикат	{'2) хIекаят', '1) хIикат'}	{'х1акет', 'хькет', 'х1икат', 'hikaya', 'х1якаят', 'хIикаят', 'хикет', '1) хIикат', 'х1якет', 'хкет', '2) хIекаят'}	DIFFERENT
the fairy tale	44	hikaya	{'hikaya'}	{'х1акет', 'хькет', 'х1икат', 'hikaya', 'х1якаят', 'хIикаят', 'хикет', '1) хIикат', 'х1якет', 'хкет', '2) хIекаят'}	DIFFERENT
the fairy tale	44	qessa	{'qessa'}	{'qesseh', 'qessa'}	DIFFERENT
the fairy tale	44	qesseh	{'qesseh'}	{'qesseh', 'qessa'}	DIFFERENT
the fairy tale	44	yalan	{'yalan'}	{'yalan', 'yalan,'}	DIFFERENT
the fairy tale	44	yalan,	{'yalan,'}	{'yalan', 'yalan,'}	DIFFERENT
